/home/yubin/miniconda3/envs/torch/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:129: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
classify loss is 0.98802733, angle loss is 0.01531809, iou loss is 1.30640829
Epoch is [3/600], mini-batch is [16/27], time consumption is 0.20668554, batch_loss is 2.44761658
classify loss is 0.98898309, angle loss is 0.01362178, iou loss is 1.55586350
Epoch is [3/600], mini-batch is [17/27], time consumption is 0.20562506, batch_loss is 2.68106437
classify loss is 0.98429203, angle loss is 0.04251671, iou loss is 1.56802928
Epoch is [3/600], mini-batch is [18/27], time consumption is 0.20422626, batch_loss is 2.97748852
classify loss is 0.97934681, angle loss is 0.01899635, iou loss is 1.50784695
Epoch is [3/600], mini-batch is [19/27], time consumption is 0.20817375, batch_loss is 2.67715740
classify loss is 0.98186821, angle loss is 0.02875405, iou loss is 1.37704599
Epoch is [3/600], mini-batch is [20/27], time consumption is 0.20957756, batch_loss is 2.64645481
classify loss is 0.98726881, angle loss is 0.01628106, iou loss is 1.60542035
Epoch is [3/600], mini-batch is [21/27], time consumption is 0.20238805, batch_loss is 2.75549984
classify loss is 0.98370689, angle loss is 0.05260572, iou loss is 1.45386028
Epoch is [3/600], mini-batch is [22/27], time consumption is 0.20463586, batch_loss is 2.96362448
classify loss is 0.99540174, angle loss is 0.02217786, iou loss is 1.44959831
Epoch is [3/600], mini-batch is [23/27], time consumption is 0.20272923, batch_loss is 2.66677856
classify loss is 0.98667955, angle loss is 0.02915651, iou loss is 1.36956966
Epoch is [3/600], mini-batch is [24/27], time consumption is 0.20561123, batch_loss is 2.64781427
classify loss is 0.98765212, angle loss is 0.01714257, iou loss is 1.23032451
Epoch is [3/600], mini-batch is [25/27], time consumption is 0.19933820, batch_loss is 2.38940239
classify loss is 0.99147123, angle loss is 0.01097343, iou loss is 1.38337886
Epoch is [3/600], mini-batch is [26/27], time consumption is 0.20586419, batch_loss is 2.48458433
classify loss is 0.98797965, angle loss is 0.01186630, iou loss is 1.30813265
Epoch is [3/600], mini-batch is [27/27], time consumption is 0.21416998, batch_loss is 2.41477537
epoch_loss is 2.78605066, epoch_time is 20.21200156
Mon May 23 16:14:51 2022
==================================================
classify loss is 0.99040824, angle loss is 0.01857444, iou loss is 1.17963636
Epoch is [4/600], mini-batch is [1/27], time consumption is 0.21212149, batch_loss is 2.35578895
classify loss is 0.98994249, angle loss is 0.01905422, iou loss is 1.38543546
Epoch is [4/600], mini-batch is [2/27], time consumption is 0.20282793, batch_loss is 2.56592011
classify loss is 0.99173063, angle loss is 0.01508073, iou loss is 1.08759177
Epoch is [4/600], mini-batch is [3/27], time consumption is 0.20180368, batch_loss is 2.23012972
classify loss is 0.98576939, angle loss is 0.01434791, iou loss is 1.20844281
Epoch is [4/600], mini-batch is [4/27], time consumption is 0.20668745, batch_loss is 2.33769131
classify loss is 0.99079460, angle loss is 0.02963378, iou loss is 1.12458634
Epoch is [4/600], mini-batch is [5/27], time consumption is 0.20467901, batch_loss is 2.41171885
classify loss is 0.99254000, angle loss is 0.01362804, iou loss is 1.00102174
Epoch is [4/600], mini-batch is [6/27], time consumption is 0.21218872, batch_loss is 2.12984228
classify loss is 0.98954242, angle loss is 0.02411837, iou loss is 1.04365730
Epoch is [4/600], mini-batch is [7/27], time consumption is 0.21811414, batch_loss is 2.27438331
classify loss is 0.98137546, angle loss is 0.01760298, iou loss is 1.24197805
Epoch is [4/600], mini-batch is [8/27], time consumption is 0.20462894, batch_loss is 2.39938331
classify loss is 0.98963678, angle loss is 0.01612262, iou loss is 1.10250568
Epoch is [4/600], mini-batch is [9/27], time consumption is 0.20616746, batch_loss is 2.25336862
classify loss is 0.98524433, angle loss is 0.01051802, iou loss is 1.07554674
Epoch is [4/600], mini-batch is [10/27], time consumption is 0.20579934, batch_loss is 2.16597128
classify loss is 0.98687613, angle loss is 0.01651288, iou loss is 1.19587576
Epoch is [4/600], mini-batch is [11/27], time consumption is 0.19876957, batch_loss is 2.34788084
classify loss is 0.98488116, angle loss is 0.06947161, iou loss is 0.90733379
Epoch is [4/600], mini-batch is [12/27], time consumption is 0.20687222, batch_loss is 2.58693099
classify loss is 0.97487777, angle loss is 0.01431845, iou loss is 0.92956340
Epoch is [4/600], mini-batch is [13/27], time consumption is 0.20935464, batch_loss is 2.04762578
classify loss is 0.98986089, angle loss is 0.06028024, iou loss is 1.02275860
Epoch is [4/600], mini-batch is [14/27], time consumption is 0.20311713, batch_loss is 2.61542177
classify loss is 0.97803777, angle loss is 0.03958369, iou loss is 1.08127022
Epoch is [4/600], mini-batch is [15/27], time consumption is 0.20599103, batch_loss is 2.45514488
classify loss is 0.97932422, angle loss is 0.02528339, iou loss is 1.01471210
Epoch is [4/600], mini-batch is [16/27], time consumption is 0.20363307, batch_loss is 2.24687004
classify loss is 0.98419720, angle loss is 0.01537527, iou loss is 1.15251815
Epoch is [4/600], mini-batch is [17/27], time consumption is 0.20360279, batch_loss is 2.29046798
classify loss is 0.98411173, angle loss is 0.04435803, iou loss is 1.16270924
Epoch is [4/600], mini-batch is [18/27], time consumption is 0.21454644, batch_loss is 2.59040141
classify loss is 0.98776042, angle loss is 0.06028504, iou loss is 0.86176288
Epoch is [4/600], mini-batch is [19/27], time consumption is 0.20316195, batch_loss is 2.45237374
classify loss is 0.99010336, angle loss is 0.06074289, iou loss is 1.03123164
Epoch is [4/600], mini-batch is [20/27], time consumption is 0.20334911, batch_loss is 2.62876391
classify loss is 0.98541176, angle loss is 0.02888871, iou loss is 1.19080520
Epoch is [4/600], mini-batch is [21/27], time consumption is 0.20178747, batch_loss is 2.46510410
classify loss is 0.98200828, angle loss is 0.02727409, iou loss is 1.15289605
Epoch is [4/600], mini-batch is [22/27], time consumption is 0.20563960, batch_loss is 2.40764523
classify loss is 0.99274105, angle loss is 0.05299845, iou loss is 1.14275217
Epoch is [4/600], mini-batch is [23/27], time consumption is 0.21184635, batch_loss is 2.66547775
classify loss is 0.99101353, angle loss is 0.04520117, iou loss is 0.99627888
Epoch is [4/600], mini-batch is [24/27], time consumption is 0.20777488, batch_loss is 2.43930411
classify loss is 0.98499113, angle loss is 0.01955811, iou loss is 0.87479317
Epoch is [4/600], mini-batch is [25/27], time consumption is 0.19924426, batch_loss is 2.05536532
classify loss is 0.98583275, angle loss is 0.04974833, iou loss is 1.31164324
Epoch is [4/600], mini-batch is [26/27], time consumption is 0.20170307, batch_loss is 2.79495931
classify loss is 0.98681092, angle loss is 0.01518391, iou loss is 1.36098909
Epoch is [4/600], mini-batch is [27/27], time consumption is 0.20080924, batch_loss is 2.49963903
epoch_loss is 2.39679903, epoch_time is 20.31552792
Mon May 23 16:15:11 2022
==================================================
classify loss is 0.98841888, angle loss is 0.02245113, iou loss is 1.05825698
Epoch is [5/600], mini-batch is [1/27], time consumption is 0.20704389, batch_loss is 2.27118707
classify loss is 0.99038756, angle loss is 0.02142311, iou loss is 1.05091906
Epoch is [5/600], mini-batch is [2/27], time consumption is 0.20597339, batch_loss is 2.25553775
classify loss is 0.96988255, angle loss is 0.05405806, iou loss is 1.00230908
Epoch is [5/600], mini-batch is [3/27], time consumption is 0.20412922, batch_loss is 2.51277208
classify loss is 0.99296188, angle loss is 0.02124843, iou loss is 0.90784061
Epoch is [5/600], mini-batch is [4/27], time consumption is 0.20418358, batch_loss is 2.11328673
classify loss is 0.96940088, angle loss is 0.01708221, iou loss is 0.95062476
Epoch is [5/600], mini-batch is [5/27], time consumption is 0.20467114, batch_loss is 2.09084773
classify loss is 0.97504139, angle loss is 0.03199766, iou loss is 0.99512565
Epoch is [5/600], mini-batch is [6/27], time consumption is 0.20661163, batch_loss is 2.29014349
classify loss is 0.98201960, angle loss is 0.09838133, iou loss is 1.30074525
Epoch is [5/600], mini-batch is [7/27], time consumption is 0.20611715, batch_loss is 3.26657820
classify loss is 0.98621970, angle loss is 0.06049106, iou loss is 1.03339052
Epoch is [5/600], mini-batch is [8/27], time consumption is 0.20445681, batch_loss is 2.62452078
classify loss is 0.97991693, angle loss is 0.03520267, iou loss is 1.22226393
Epoch is [5/600], mini-batch is [9/27], time consumption is 0.20164180, batch_loss is 2.55420756
classify loss is 0.98449850, angle loss is 0.02286438, iou loss is 1.07477129
Epoch is [5/600], mini-batch is [10/27], time consumption is 0.20462155, batch_loss is 2.28791380
classify loss is 0.98877794, angle loss is 0.01261137, iou loss is 0.98518109
Epoch is [5/600], mini-batch is [11/27], time consumption is 0.20448899, batch_loss is 2.10007262
classify loss is 0.99115717, angle loss is 0.00665900, iou loss is 1.28979409
Epoch is [5/600], mini-batch is [12/27], time consumption is 0.20440507, batch_loss is 2.34754133
classify loss is 0.98616982, angle loss is 0.02442666, iou loss is 0.97100234
Epoch is [5/600], mini-batch is [13/27], time consumption is 0.20589018, batch_loss is 2.20143890
classify loss is 0.98461574, angle loss is 0.01636832, iou loss is 0.86206162
Epoch is [5/600], mini-batch is [14/27], time consumption is 0.20788193, batch_loss is 2.01036048
classify loss is 0.97972780, angle loss is 0.02961059, iou loss is 1.10712636
Epoch is [5/600], mini-batch is [15/27], time consumption is 0.20568895, batch_loss is 2.38296008
classify loss is 0.98484486, angle loss is 0.07011290, iou loss is 1.17440307
Epoch is [5/600], mini-batch is [16/27], time consumption is 0.20440006, batch_loss is 2.86037683
classify loss is 0.98870492, angle loss is 0.01653771, iou loss is 0.97049397
Epoch is [5/600], mini-batch is [17/27], time consumption is 0.20115209, batch_loss is 2.12457609
classify loss is 0.98121899, angle loss is 0.00949568, iou loss is 0.86234790
Epoch is [5/600], mini-batch is [18/27], time consumption is 0.20691252, batch_loss is 1.93852377
classify loss is 0.98829627, angle loss is 0.02936703, iou loss is 0.80275208
Epoch is [5/600], mini-batch is [19/27], time consumption is 0.20574307, batch_loss is 2.08471870
classify loss is 0.97787714, angle loss is 0.01583089, iou loss is 0.94515955
Epoch is [5/600], mini-batch is [20/27], time consumption is 0.20423603, batch_loss is 2.08134556
classify loss is 0.98969138, angle loss is 0.02700624, iou loss is 1.19970512
Epoch is [5/600], mini-batch is [21/27], time consumption is 0.20560217, batch_loss is 2.45945883
classify loss is 0.99334049, angle loss is 0.02158230, iou loss is 1.07875133
Epoch is [5/600], mini-batch is [22/27], time consumption is 0.20390916, batch_loss is 2.28791475
classify loss is 0.99069220, angle loss is 0.01728280, iou loss is 0.88620585
Epoch is [5/600], mini-batch is [23/27], time consumption is 0.20507312, batch_loss is 2.04972601
classify loss is 0.97835845, angle loss is 0.03067775, iou loss is 1.08721781
Epoch is [5/600], mini-batch is [24/27], time consumption is 0.20287657, batch_loss is 2.37235379
classify loss is 0.97814679, angle loss is 0.02540522, iou loss is 0.91014218
Epoch is [5/600], mini-batch is [25/27], time consumption is 0.20313358, batch_loss is 2.14234114
classify loss is 0.98904020, angle loss is 0.01421416, iou loss is 1.00652468
Epoch is [5/600], mini-batch is [26/27], time consumption is 0.20134091, batch_loss is 2.13770652
classify loss is 0.99217439, angle loss is 0.01633133, iou loss is 1.06606042
Epoch is [5/600], mini-batch is [27/27], time consumption is 0.20071387, batch_loss is 2.22154808
epoch_loss is 2.29888736, epoch_time is 20.90265465
Mon May 23 16:15:32 2022
==================================================
classify loss is 0.98081166, angle loss is 0.02930189, iou loss is 0.81557804
Epoch is [6/600], mini-batch is [1/27], time consumption is 0.21033239, batch_loss is 2.08940864
classify loss is 0.98927414, angle loss is 0.01057640, iou loss is 0.86350036
Epoch is [6/600], mini-batch is [2/27], time consumption is 0.20205355, batch_loss is 1.95853853
classify loss is 0.97713310, angle loss is 0.02066488, iou loss is 1.25666952
Epoch is [6/600], mini-batch is [3/27], time consumption is 0.20394802, batch_loss is 2.44045138
classify loss is 0.98365074, angle loss is 0.01514418, iou loss is 1.05246949
Epoch is [6/600], mini-batch is [4/27], time consumption is 0.19995093, batch_loss is 2.18756199
classify loss is 0.98833466, angle loss is 0.01518677, iou loss is 0.98979670
Epoch is [6/600], mini-batch is [5/27], time consumption is 0.20431590, batch_loss is 2.12999916
classify loss is 0.98813081, angle loss is 0.01440980, iou loss is 0.86936873
Epoch is [6/600], mini-batch is [6/27], time consumption is 0.20622015, batch_loss is 2.00159740
classify loss is 0.98071074, angle loss is 0.01796042, iou loss is 1.23206425
Epoch is [6/600], mini-batch is [7/27], time consumption is 0.20496464, batch_loss is 2.39237928
classify loss is 0.99152708, angle loss is 0.00829115, iou loss is 0.93258750
Epoch is [6/600], mini-batch is [8/27], time consumption is 0.20490980, batch_loss is 2.00702620
classify loss is 0.99159998, angle loss is 0.01014837, iou loss is 0.92469901
Epoch is [6/600], mini-batch is [9/27], time consumption is 0.20273352, batch_loss is 2.01778269
classify loss is 0.98855102, angle loss is 0.00674262, iou loss is 0.79800481
Epoch is [6/600], mini-batch is [10/27], time consumption is 0.20537686, batch_loss is 1.85398197
classify loss is 0.98507786, angle loss is 0.02329173, iou loss is 1.08384216
Epoch is [6/600], mini-batch is [11/27], time consumption is 0.20533562, batch_loss is 2.30183721
classify loss is 0.98246533, angle loss is 0.01198610, iou loss is 1.05104935
Epoch is [6/600], mini-batch is [12/27], time consumption is 0.20246291, batch_loss is 2.15337563
classify loss is 0.97907060, angle loss is 0.01503987, iou loss is 0.86445820
Epoch is [6/600], mini-batch is [13/27], time consumption is 0.20205069, batch_loss is 1.99392748
classify loss is 0.98186284, angle loss is 0.01166100, iou loss is 0.92100322
Epoch is [6/600], mini-batch is [14/27], time consumption is 0.20769548, batch_loss is 2.01947618
classify loss is 0.98653793, angle loss is 0.02024656, iou loss is 0.90950775
Epoch is [6/600], mini-batch is [15/27], time consumption is 0.20508432, batch_loss is 2.09851122
classify loss is 0.98469633, angle loss is 0.00776974, iou loss is 0.97700536
Epoch is [6/600], mini-batch is [16/27], time consumption is 0.20556521, batch_loss is 2.03939915
classify loss is 0.98484254, angle loss is 0.02421917, iou loss is 1.19143486
Epoch is [6/600], mini-batch is [17/27], time consumption is 0.20535541, batch_loss is 2.41846895
classify loss is 0.98063368, angle loss is 0.03901858, iou loss is 0.87094343
Epoch is [6/600], mini-batch is [18/27], time consumption is 0.20458508, batch_loss is 2.24176288
classify loss is 0.98961633, angle loss is 0.02406858, iou loss is 1.06748235
Epoch is [6/600], mini-batch is [19/27], time consumption is 0.19991016, batch_loss is 2.29778457
classify loss is 0.98199069, angle loss is 0.03697827, iou loss is 1.02019489
Epoch is [6/600], mini-batch is [20/27], time consumption is 0.20148540, batch_loss is 2.37196827
classify loss is 0.99118197, angle loss is 0.02031395, iou loss is 0.88457036
Epoch is [6/600], mini-batch is [21/27], time consumption is 0.20580339, batch_loss is 2.07889175
classify loss is 0.99192381, angle loss is 0.01296662, iou loss is 1.07116485
Epoch is [6/600], mini-batch is [22/27], time consumption is 0.20466161, batch_loss is 2.19275475
classify loss is 0.97854751, angle loss is 0.02247418, iou loss is 0.88351917
Epoch is [6/600], mini-batch is [23/27], time consumption is 0.20326066, batch_loss is 2.08680844
classify loss is 0.98546052, angle loss is 0.01541613, iou loss is 1.26146376
Epoch is [6/600], mini-batch is [24/27], time consumption is 0.19956827, batch_loss is 2.40108562
classify loss is 0.98373336, angle loss is 0.01853210, iou loss is 0.98426008
Epoch is [6/600], mini-batch is [25/27], time consumption is 0.20221663, batch_loss is 2.15331435
classify loss is 0.97150838, angle loss is 0.02950017, iou loss is 0.83943790
Epoch is [6/600], mini-batch is [26/27], time consumption is 0.20147920, batch_loss is 2.10594797
classify loss is 0.98166496, angle loss is 0.01833056, iou loss is 0.92153919
Epoch is [6/600], mini-batch is [27/27], time consumption is 0.19970846, batch_loss is 2.08650970
epoch_loss is 2.15261301, epoch_time is 19.72128081
